TransactionID,Items
50,"Veg Manchurian, Fried Rice, Sweet Corn Soup, Hakka Noodles"
51,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
52,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
53,"Vada, Masala Dosa, Idli, Coffee"
54,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
55,"Fish Curry, Mutton Curry, Roti, Jeera Rice"
56,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
57,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
58,"Pav Bhaji, Ice Cream (Chocolate), Ice Cream (Vanilla), Veg Sandwich"
59,"Papad, Salad, Sweet Corn Soup"
60,"Pancakes, Waffles, French Toast, Coffee"
61,"Veg Manchurian, Fried Rice, Sweet Corn Soup, Hakka Noodles"
62,"Fish Curry, Mutton Curry, Roti, Jeera Rice"
63,"Lassi, Aloo Paratha, Chole Bhature, Pav Bhaji"
64,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
65,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
66,"Poha, Upma, Tea"
67,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
68,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
69,"Jalebi, Kheer, Rasgulla, Gajar Halwa"
70,"Vada, Masala Dosa, Idli, Coffee"
71,"Papad, Salad, Sweet Corn Soup"
72,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
73,"Dal Tadka, Jeera Rice, Roti, Chole Masala"
74,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
75,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
76,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
77,"Pancakes, Waffles, French Toast, Coffee"
78,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
79,"Idli, Masala Dosa, Vada, Coffee"
80,"Idli, Masala Dosa, Vada, Coffee"
81,"Salad, Veg Sandwich, Sweet Corn Soup"
82,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
83,"Veg Manchurian, Fried Rice, Sweet Corn Soup, Hakka Noodles"
84,"Kheer, Rasgulla, Jalebi, Gajar Halwa"
85,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
86,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
87,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
88,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
89,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
90,"Masala Dosa, Idli, Vada, Coffee"
91,"Poori Bhaji, Aloo Paratha, Tea"
92,"Mutton Curry, Roti, Fish Curry, Chicken Biryani"
93,"Waffles, French Toast, Coffee, Cornflakes with Milk"
94,"Chole Bhature, Chole Masala, Lassi"
95,"Veg Manchurian, Fried Rice, Sweet Corn Soup, Hakka Noodles"
96,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
97,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
98,"Cornflakes with Milk, French Toast, Waffles, Pancakes"
99,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
100,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
101,"Gajar Halwa, Jalebi, Kheer, Rasgulla"
102,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
103,"Chole Bhature, Chole Masala, Lassi"
104,"Ice Cream (Chocolate), Brownie, Cake (Chocolate), Ice Cream (Vanilla)"
105,"Ice Cream (Chocolate), Brownie, Cake (Chocolate), Ice Cream (Vanilla)"
106,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
107,"Salad, Veg Sandwich, Sweet Corn Soup"
108,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
109,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
110,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
111,"Masala Dosa, Idli, Vada, Coffee"
112,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
113,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
114,"Veg Sandwich, Cornflakes with Milk, Coffee, French Toast"
115,"Veg Manchurian, Fried Rice, Sweet Corn Soup, Hakka Noodles"
116,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
117,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
118,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
119,"Veg Sandwich, Cornflakes with Milk, Coffee, French Toast"
120,"Lassi, Aloo Paratha, Chole Bhature, Pav Bhaji"
121,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
122,"Upma, Tea, Poha"
123,"Laccha Paratha, Butter Naan, Roti, Jeera Rice"
124,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
125,"Ice Cream (Chocolate), Brownie, Cake (Chocolate), Ice Cream (Vanilla)"
126,"Kheer, Rasgulla, Jalebi, Gajar Halwa"
127,"Mutton Curry, Roti, Fish Curry, Chicken Biryani"
128,"Waffles, French Toast, Coffee, Cornflakes with Milk"
129,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
130,"Masala Dosa, Idli, Vada, Coffee"
131,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
132,"Papad, Salad, Sweet Corn Soup"
133,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
134,"Cornflakes with Milk, French Toast, Waffles, Pancakes"
135,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
136,"Veg Sandwich, Cornflakes with Milk, Coffee, French Toast"
137,"Masala Dosa, Idli, Vada, Coffee"
138,"Fish Curry, Mutton Curry, Roti, Jeera Rice"
139,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
140,"Pancakes, Waffles, French Toast, Coffee"
141,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
142,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
143,"Pancakes, Waffles, French Toast, Coffee"
144,"Masala Dosa, Idli, Vada, Coffee"
145,"Poha, Upma, Tea"
146,"Kheer, Rasgulla, Jalebi, Gajar Halwa"
147,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
148,"Vada, Masala Dosa, Idli, Coffee"
149,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
150,"Veg Sandwich, Cornflakes with Milk, Coffee, French Toast"
151,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
152,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
153,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
154,"Waffles, French Toast, Coffee, Cornflakes with Milk"
155,"Ice Cream (Chocolate), Brownie, Cake (Chocolate), Ice Cream (Vanilla)"
156,"Ice Cream (Chocolate), Brownie, Cake (Chocolate), Ice Cream (Vanilla)"
157,"Chole Bhature, Chole Masala, Lassi"
158,"Papad, Salad, Sweet Corn Soup"
159,"Poha, Upma, Tea"
160,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
161,"Pav Bhaji, Ice Cream (Chocolate), Ice Cream (Vanilla), Veg Sandwich"
162,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
163,"Masala Dosa, Idli, Vada, Coffee"
164,"Pav Bhaji, Ice Cream (Chocolate), Ice Cream (Vanilla), Veg Sandwich"
165,"Jalebi, Kheer, Rasgulla, Gajar Halwa"
166,"Vada, Masala Dosa, Idli, Coffee"
167,"Laccha Paratha, Butter Naan, Roti, Jeera Rice"
168,"Vada, Masala Dosa, Idli, Coffee"
169,"Idli, Masala Dosa, Vada, Coffee"
170,"Upma, Tea, Poha"
171,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
172,"Poori Bhaji, Aloo Paratha, Tea"
173,"Ice Cream (Chocolate), Brownie, Cake (Chocolate), Ice Cream (Vanilla)"
174,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
175,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
176,"Dal Tadka, Jeera Rice, Roti, Chole Masala"
177,"Dal Tadka, Jeera Rice, Roti, Chole Masala"
178,"Papad, Salad, Sweet Corn Soup"
179,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
180,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
181,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
182,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
183,"Pancakes, Waffles, French Toast, Coffee"
184,"Chole Bhature, Chole Masala, Lassi"
185,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
186,"Mutton Curry, Roti, Fish Curry, Chicken Biryani"
187,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
188,"Dal Tadka, Jeera Rice, Roti, Chole Masala"
189,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
190,"Masala Dosa, Idli, Vada, Coffee"
191,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
192,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
193,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
194,"Poha, Upma, Tea"
195,"Jalebi, Kheer, Rasgulla, Gajar Halwa"
196,"Chole Bhature, Chole Masala, Lassi"
197,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
198,"Poori Bhaji, Aloo Paratha, Tea"
199,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
200,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
201,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
202,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
203,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
204,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
205,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
206,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
207,"Vada, Masala Dosa, Idli, Coffee"
208,"Kheer, Rasgulla, Jalebi, Gajar Halwa"
209,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
210,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
211,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
212,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
213,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
214,"Jalebi, Kheer, Rasgulla, Gajar Halwa"
215,"Papad, Salad, Sweet Corn Soup"
216,"Waffles, French Toast, Coffee, Cornflakes with Milk"
217,"Jalebi, Kheer, Rasgulla, Gajar Halwa"
218,"Pancakes, Waffles, French Toast, Coffee"
219,"Salad, Veg Sandwich, Sweet Corn Soup"
220,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
221,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
222,"Papad, Salad, Sweet Corn Soup"
223,"Laccha Paratha, Butter Naan, Roti, Jeera Rice"
224,"Chole Bhature, Chole Masala, Lassi"
225,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
226,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
227,"Laccha Paratha, Butter Naan, Roti, Jeera Rice"
228,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
229,"Poha, Upma, Tea"
230,"Mutton Curry, Roti, Fish Curry, Chicken Biryani"
231,"Papad, Salad, Sweet Corn Soup"
232,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
233,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
234,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
235,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
236,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
237,"Gajar Halwa, Jalebi, Kheer, Rasgulla"
238,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
239,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
240,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
241,"Butter Naan, Roti, Laccha Paratha, Jeera Rice"
242,"Upma, Tea, Poha"
243,"Veg Manchurian, Fried Rice, Sweet Corn Soup, Hakka Noodles"
244,"Jalebi, Kheer, Rasgulla, Gajar Halwa"
245,"Laccha Paratha, Butter Naan, Roti, Jeera Rice"
246,"Chole Bhature, Chole Masala, Lassi"
247,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
248,"Idli, Masala Dosa, Vada, Coffee"
249,"Dal Tadka, Jeera Rice, Roti, Chole Masala"
250,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
251,"Poori Bhaji, Aloo Paratha, Tea"
252,"Lassi, Aloo Paratha, Chole Bhature, Pav Bhaji"
253,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
254,"Upma, Tea, Poha"
255,"Pav Bhaji, Ice Cream (Chocolate), Ice Cream (Vanilla), Veg Sandwich"
256,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
257,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
258,"Salad, Veg Sandwich, Sweet Corn Soup"
259,"Pav Bhaji, Ice Cream (Chocolate), Ice Cream (Vanilla), Veg Sandwich"
260,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
261,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
262,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
263,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
264,"Vada, Masala Dosa, Idli, Coffee"
265,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
266,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
267,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
268,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
269,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
270,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
271,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
272,"Paneer Tikka Masala, Paneer Butter Masala, Butter Naan, Laccha Paratha"
273,"Pancakes, Waffles, French Toast, Coffee"
274,"Idli, Masala Dosa, Vada, Coffee"
275,"Cornflakes with Milk, French Toast, Waffles, Pancakes"
276,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
277,"Gulab Jamun, Ice Cream (Vanilla), Rasgulla, Gajar Halwa"
278,"Fish Curry, Mutton Curry, Roti, Jeera Rice"
279,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
280,"Upma, Tea, Poha"
281,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
282,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
283,"Kheer, Rasgulla, Jalebi, Gajar Halwa"
284,"Poha, Upma, Tea"
285,"Upma, Tea, Poha"
286,"Cornflakes with Milk, French Toast, Waffles, Pancakes"
287,"Mutton Curry, Roti, Fish Curry, Chicken Biryani"
288,"Idli, Masala Dosa, Vada, Coffee"
289,"Gajar Halwa, Jalebi, Kheer, Rasgulla"
290,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
291,"Idli, Masala Dosa, Vada, Coffee"
292,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
293,"Pav Bhaji, Ice Cream (Chocolate), Ice Cream (Vanilla), Veg Sandwich"
294,"Jeera Rice, Dal Tadka, Chole Masala, Fried Rice"
295,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
296,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
297,"Waffles, French Toast, Coffee, Cornflakes with Milk"
298,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
299,"Chole Bhature, Chole Masala, Lassi"
300,"Lassi, Aloo Paratha, Chole Bhature, Pav Bhaji"
